line,type,full_match,label,id,title,URL,code
586,SUBLVLI,2.	,Lid,2.,(vrijgestelde oppervlakte),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.34_Lid2,C3_S3_2_P3_2_7_A3_34_SUB2
587,MAINLVL,Artikel 3.35. (toepassing Euroklassen),Artikel,3.35,(toepassing Euroklassen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.35,C3_S3_2_P3_2_7_A3_35
596,MAINLVL,§ 3.2.8. Beperking van uitbreiding van brand,§,3.2.8,Beperking van uitbreiding van brand,https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8,C3_S3_2_P3_2_8
597,MAINLVL,Artikel 3.36. (aansturingsartikel),Artikel,3.36,(aansturingsartikel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.36,C3_S3_2_P3_2_8_A3_36
598,SUBLVLI,1.	,Lid,1.,(aansturingsartikel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.36_Lid1,C3_S3_2_P3_2_8_A3_36_SUB1
601,SUBLVLI,2.	,Lid,2.,(aansturingsartikel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.36_Lid2,C3_S3_2_P3_2_8_A3_36_SUB2
602,CAPTION,Tabel 3.36,Tabel,3.36,,,
637,MAINLVL,Artikel 3.37. (brandcompartiment: ligging),Artikel,3.37,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.37,C3_S3_2_P3_2_8_A3_37
638,SUBLVLI,1.	,Lid,1.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.37_Lid1,C3_S3_2_P3_2_8_A3_37_SUB1
643,SUBLVLI,2.	,Lid,2.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.37_Lid2,C3_S3_2_P3_2_8_A3_37_SUB2
644,SUBLVLI,3.	,Lid,3.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.37_Lid3,C3_S3_2_P3_2_8_A3_37_SUB3
645,SUBLVLI,4.	,Lid,4.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.37_Lid4,C3_S3_2_P3_2_8_A3_37_SUB4
646,SUBLVLI,5.	,Lid,5.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.37_Lid5,C3_S3_2_P3_2_8_A3_37_SUB5
647,SUBLVLI,6.	,Lid,6.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.37_Lid6,C3_S3_2_P3_2_8_A3_37_SUB6
